sample_name,genus,collector_spp_determination,species,collectors,latitude,longitude,raw_radseq_reads,consensus_reads,clade
Acol1-1,Aconitum,columbianum,columbianum,"Meek, Meek",42.77925,-112.15749,2104420,11298,outgroup
Acol1-2,Aconitum,columbianum,columbianum,"Meek, Meek",42.77925,-112.15749,1085717,11272,outgroup
Acol1-3,Aconitum,columbianum,columbianum,"Meek, Meek",42.77925,-112.15749,1626239,11657,outgroup
Acol2-1,Aconitum,delphiniifolium,delphiniifolium,"Meek, McKenzie",61.10413,-149.67979,2982967,16850,outgroup
Acol2-2,Aconitum,delphiniifolium,delphiniifolium,"Meek, McKenzie",61.10413,-149.67979,3013933,17889,outgroup
Acol2-3,Aconitum,delphiniifolium,delphiniifolium,"Meek, McKenzie",61.10413,-149.67979,2776271,12839,outgroup
Dalp1-1,Delphinium,alpestre,alpestre,"Meek, Cook",37.36749,-105.00294,1388076,13857,6
Dalp1-2,Delphinium,alpestre,alpestre,"Meek, Cook",37.36749,-105.00294,1112836,13155,6
Dalp2-1,Delphinium,alpestre,alpestre,Cook,39.438108,-105.91667,1007029,8861,6
Dalp2-3,Delphinium,alpestre,alpestre,Cook,39.438108,-105.91667,2840662,9668,6
Dalp4-1,Delphinium,alpestre,alpestre,Cook,38.328167,-106.203778,1342820,8922,6
Dalp4-2,Delphinium,alpestre,alpestre,Cook,38.328167,-106.203778,1856146,9077,6
Dalp5-1,Delphinium,alpestre,alpestre,Cook,38.3035,-105.862111,1610018,8811,6
Dalp5-2,Delphinium,alpestre,alpestre,Cook,38.3035,-105.862111,879604,8135,6
Dand1-1,Delphinium,andersonii,andersonii,Cook,44.020509,-111.790487,433631,6509,0
Dand1-2,Delphinium,andersonii,andersonii,Cook,44.020509,-111.790487,412820,6704,0
Dand2-1,Delphinium,andersonii,andersonii,Cook,43.245249,-114.213601,492156,6603,0
Dand2-3,Delphinium,andersonii,andersonii,Cook,43.245249,-114.213601,618268,7581,0
Dana1-3,Delphinium,andesicola,andesicola,"Meek, Cook",31.89515,-109.28108,1529487,14537,6
Dana1-5,Delphinium,andesicola,andesicola,"Meek, Cook",31.89515,-109.28108,1696583,15458,6
Dana1-6,Delphinium,andesicola,andesicola,"Meek, Cook",31.89515,-109.28108,1302122,14624,6
Dbar1-1,Delphinium,barbeyi,barbeyi,Cook,39.2397,-111.512717,1119559,13391,3
Dbar1-3,Delphinium,barbeyi,barbeyi,Cook,39.2397,-111.512717,1180949,13765,3
Dbar2-2,Delphinium,barbeyi,barbeyi,Cook,38.326667,-112.370433,1594282,13857,3
Dbar2-4,Delphinium,barbeyi,barbeyi,Cook,38.326667,-112.370433,1445623,14045,3
Dbar3-1,Delphinium,barbeyi,barbeyi,Cook,37.672867,-112.8318,1644979,14138,3
Dbar3-3,Delphinium,barbeyi,barbeyi,Cook,37.672867,-112.8318,1678119,13996,3
Dbic1-2,Delphinium,bicolor,bicolor,Cook,44.979579,-113.472016,1024821,9519,1
Dbic1-4,Delphinium,bicolor,bicolor,Cook,44.979579,-113.472016,1190161,9954,1
Dbic2-3,Delphinium,bicolor,bicolor,Cook,44.980373,-113.468272,904628,9154,1
Dbic2-4,Delphinium,bicolor,bicolor,Cook,44.980373,-113.468272,1232850,10196,1
Dbra1-1,Delphinium,brachycentrum,brachycentrum,"Meek, McKenzie",65.50092,-145.39253,2770559,16437,4
Dbra1-2,Delphinium,brachycentrum,brachycentrum,"Meek, McKenzie",65.50092,-145.39253,1478171,12558,4
Dbra1-3,Delphinium,brachycentrum,brachycentrum,"Meek, McKenzie",65.50092,-145.39253,3533952,15277,4
Dbra1-4,Delphinium,brachycentrum,brachycentrum,"Meek, McKenzie",65.50092,-145.39253,3778944,13135,4
Dcal1-1,Delphinium,californicum,californicum,"Meek, McCallum",37.83893,-122.48572,1944390,11957,2
Dcal1-2,Delphinium,californicum,californicum,"Meek, McCallum",37.83893,-122.48572,1537411,11629,2
Dcal1-3,Delphinium,californicum,californicum,"Meek, McCallum",37.83893,-122.48572,1788047,12471,2
Dcar1-1,Delphinium,cardinale,cardinale,"Meek, Willes, Willes",32.93922,-117.25272,6688480,11740,2
Dcar1-2,Delphinium,cardinale,cardinale,"Meek, Willes, Willes",32.93922,-117.25272,2662047,11095,2
Dcar1-3,Delphinium,cardinale,cardinale,"Meek, Willes, Willes",32.93922,-117.25272,3532904,11317,2
Dcln1-1,Delphinium,carolinianum,carolinianum,Cook,40.1705263,-105.264325,715564,6744,5
Dcln1-2,Delphinium,carolinianum,carolinianum,Cook,40.1705263,-105.264325,1074057,7055,5
Dcln1-3,Delphinium,carolinianum,carolinianum,Cook,40.1705263,-105.264325,632913,6681,5
Ddis1-1,Delphinium,distichum,distichum,Cook,46.903489,-120.66762,2570631,13052,1
Ddis1-3,Delphinium,distichum,distichum,Cook,46.903489,-120.66762,2080876,15748,1
Ddis2-2,Delphinium,distichum,distichum,Cook,46.703741,-116.540715,2464274,11814,1
Ddis2-3,Delphinium,distichum,distichum,Cook,46.703741,-116.540715,2439835,12151,1
Ddis3-2,Delphinium,distichum,distichum,Cook,46.904692,-120.757664,557004,8451,1
Ddis3-4,Delphinium,distichum,distichum,Cook,46.904692,-120.757664,409429,7756,1
Ddis5-2,Delphinium,distichum,distichum,Cook,47.487004,-118.286748,686251,9251,1
Ddis5-3,Delphinium,distichum,distichum,Cook,47.487004,-118.286748,696871,8985,1
Ddis6-1,Delphinium,distichum,distichum,Cook,46.165296,-117.293713,1025630,10706,1
Ddis6-2,Delphinium,distichum,distichum,Cook,46.165296,-117.293713,825505,9911,1
Dexa1-1,Delphinium,exaltatum,exaltatum,"Meek, Taylor",39.1765,-78.193772,1019810,7525,4
Dexa1-2,Delphinium,exaltatum,exaltatum,"Meek, Taylor",39.1765,-78.193772,1061920,6822,4
Dexa1-3,Delphinium,exaltatum,exaltatum,"Meek, Taylor",39.1765,-78.193772,1439788,7435,4
Dger1-2,Delphinium,geraniifolium,geraniifolium,"Meek, Cook",35.3317,-111.7138,2794634,14374,6
Dger1-3,Delphinium,geraniifolium,geraniifolium,"Meek, Cook",35.3317,-111.7138,1304434,14122,6
Dger2-1,Delphinium,geraniifolium,geraniifolium,"Meek, Cook",34.99755,-111.74025,1336600,13862,6
Dger2-4,Delphinium,geraniifolium,geraniifolium,"Meek, Cook",34.99755,-111.74025,1590116,13902,6
Dgey1-4,Delphinium,geyeri,geyeri,"Meek, Cook",40.50829,-105.19543,1387537,13970,3
Dgey1-5,Delphinium,geyeri,geyeri,"Meek, Cook",40.50829,-105.19543,1758840,14321,3
Dgey3-2,Delphinium,geyeri,geyeri,"Meek, Cook",40.2039105,-105.308933,3210768,9050,3
Dgey3-4,Delphinium,geyeri,geyeri,"Meek, Cook",40.2039105,-105.308933,3263024,9152,3
Dgla2-3,Delphinium,glaucescens,glaucescens,Cook,45.340317,-112.9013,2817784,13957,3
Dgla2-4,Delphinium,glaucescens,glaucescens,Cook,45.340317,-112.9013,4304097,13952,3
Dgla3-2,Delphinium,glaucescens,glaucescens,Cook,44.6498,-112.753033,4439623,14290,3
Dgla3-3,Delphinium,glaucescens,glaucescens,Cook,44.6498,-112.753033,2478158,14525,3
Dglm1-3,Delphinium,glaucum,glaucum,Cook,38.63445,-120.12925,1358802,13706,4
Dglm1-4,Delphinium,glaucum,glaucum,Cook,38.63445,-120.12925,1230410,13337,4
Dglm2-2,Delphinium,glaucum,glaucum,Cook,38.328017,-119.637067,1939895,14236,4
Dglm2-5,Delphinium,glaucum,glaucum,Cook,38.328017,-119.637067,1427059,13012,4
Dglm3-1,Delphinium,glaucum,glaucum,"Meek, McKenzie",61.50624,-148.99997,2046256,12950,4
Dglm3-2,Delphinium,glaucum,glaucum,"Meek, McKenzie",61.50624,-148.99997,1171924,12233,4
Dglm4-2,Delphinium,glaucum,glaucum,"Meek, McKenzie",64.19697,-145.83328,4831068,13599,4
Dglm4-3,Delphinium,glaucum,glaucum,"Meek, McKenzie",64.19697,-145.83328,3036283,16886,4
Dgyp1-1,Delphinium,gypsophilum,gypsophilum,"Meek, McCallum",35.46859,-120.37941,1433002,12415,2
Dgyp1-2,Delphinium,gypsophilum,gypsophilum,"Meek, McCallum",35.46859,-120.37941,906953,11753,2
Dgyp1-3,Delphinium,gypsophilum,gypsophilum,"Meek, McCallum",35.46859,-120.37941,1653265,12933,2
Dhes1-1,Delphinium,hesperium_pallescens,hesperium_pallescens,"Meek, McCallum",36.36017,-120.8493,848914,8646,2
Dhes1-2,Delphinium,hesperium_pallescens,hesperium_pallescens,"Meek, McCallum",36.36017,-120.8493,971456,9300,2
