P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
alpestre-1_5	alpestre-2	andersonii	0.0260789	0.484125	0.628297	0.00285526	275.88	40.9162	38.8364
andesicola	alpestre-2	alpestre-1_5	0.217841	4.95637	7.18232e-07	0.0844975	168.093	109.752	70.4884
alpestre-2	alpestre-1_5	barbeyi	0.0254004	0.579783	0.562061	0.00567651	200.168	80.2063	76.2327
alpestre-1_5	alpestre-2	bicolor	0.125738	2.44893	0.0143283	0.0127872	294.34	58.6146	45.5208
alpestre-2	alpestre-1_5	brachycentrum	0.0304127	0.618962	0.535942	0.00489368	302.225	64.9974	61.1606
alpestre-2	alpestre-1_5	californicum	0.020315	0.34984	0.726459	0.000967676	253.845	43.8594	42.1128
alpestre-2	alpestre-1_5	cardinale	0.0842446	1.45112	0.146748	0.00444579	224.723	48.4867	40.952
alpestre-2	alpestre-1_5	carolinianum	0.0258781	0.497012	0.619181	0.00173737	185.098	65.0388	61.7575
alpestre-2	alpestre-1_5	distichum-1_5	0.007406	0.152998	0.8784	0.000758722	268.808	55.3549	54.541
alpestre-1_5	alpestre-2	distichum-2_6	0.00374046	0.0766011	0.938941	0.000393486	332.844	51.4797	51.0961
alpestre-1_5	alpestre-2	exaltatum	0.0405664	0.769536	0.441575	0.00453472	163.313	55.3099	50.9974
geraniifolium	alpestre-2	alpestre-1_5	0.282082	6.86954	6.44099e-12	0.120659	95.374	127.893	71.6153
alpestre-1_5	alpestre-2	geyeri	0.0859367	1.96484	0.0494329	0.0184083	182.79	83.9031	70.6236
alpestre-2	alpestre-1_5	glaucescens	0.112945	2.39291	0.0167153	0.0254918	205.822	86.4266	68.885
alpestre-2	alpestre-1_5	glaucum-1_2	0.088474	1.64453	0.100068	0.0117999	189.472	58.5556	49.0365
alpestre-1_5	alpestre-2	glaucum-3_4	0.029882	0.628983	0.52936	0.00690121	202.958	65.7287	61.9145
alpestre-1_5	alpestre-2	gypsophilum	0.0127681	0.245595	0.805996	0.000726836	344.559	49.0243	47.7882
alpestre-2	alpestre-1_5	hesperium	0.0759202	1.39586	0.162757	0.00429531	270.041	54.7801	47.0492
alpestre-2	alpestre-1_5	lineapetalum	0.00101298	0.019664	0.984311	8.40543e-05	295.468	51.4679	51.3637
alpestre-2	alpestre-1_5	multiplex	0.058723	1.2935	0.19584	0.00722566	291.508	64.5792	57.4153
novomexicanum	alpestre-2	alpestre-1_5	0.109545	2.59337	0.00950413	0.0424284	175.957	100.249	80.454
alpestre-2	alpestre-1_5	nudicaule	0.0205572	0.367748	0.713061	0.0019208	572.239	45.2491	43.4262
alpestre-2	alpestre-1_5	nuttallianum-14	0.0101421	0.196216	0.844441	0.000936195	293.97	46.3411	45.4106
alpestre-2	alpestre-1_5	nuttallianum-7_9	0.0217649	0.446294	0.655385	0.00308994	336.796	52.0803	49.8615
alpestre-2	alpestre-1_5	occidentale	0.0460001	1.00566	0.314577	0.00964587	197.108	70.7438	64.5216
alpestre-1_5	alpestre-2	parryi	0.00943505	0.173167	0.86252	0.000440278	250.208	45.5069	44.6563
alpestre-1_5	alpestre-2	patens	0.0466277	0.749764	0.453397	0.00428022	818.51	33.1241	30.1727
ramosum-1_5	alpestre-1_5	alpestre-2	0.0591972	1.59977	0.109651	0.0176131	323.336	83.4837	74.1521
ramosum-3	alpestre-2	alpestre-1_5	0.0365728	0.804782	0.420946	0.0111623	381.253	69.1345	64.2561
alpestre-1_5	alpestre-2	ramosum-4_10	0.00874416	0.226804	0.820576	0.00384507	127.024	95.1737	93.5237
sapellonis	alpestre-2	alpestre-1_5	0.0812682	2.05417	0.039959	0.0330417	190.68	103.691	88.1039
alpestre-2	alpestre-1_5	scaposum	0.0627438	1.22311	0.221287	0.00677308	287.425	51.4457	45.3711
scopulorum	alpestre-2	alpestre-1_5	0.302108	7.31189	2.63408e-13	0.124484	100.994	128.154	68.6868
alpestre-2	alpestre-1_5	stachydeum	0.0505463	0.897679	0.369357	0.00413954	243.855	56.3617	50.9381
alpestre-1_5	alpestre-2	trolliifolium	0.0406809	0.798153	0.424782	0.00376401	451.498	50.4525	46.5081
alpestre-1_5	alpestre-2	viridescens	0.059746	1.07527	0.282253	0.00498946	232.562	59.8333	53.0868
alpestre-1_5	alpestre-2	xantholeucum	0.0088456	0.176955	0.859543	0.000810463	292.568	48.3131	47.4659
alpestre-1_5	andesicola	andersonii	0.0108034	0.196529	0.844196	0.00127484	255.182	42.8021	41.8872
alpestre-1_5	barbeyi	andersonii	0.0406208	0.823464	0.410244	0.00596324	203.989	55.3944	51.0697
alpestre-1_5	bicolor	andersonii	0.248125	6.29986	2.97916e-10	0.0703471	116.644	126.371	76.1265
brachycentrum	alpestre-1_5	andersonii	0.312252	7.14909	8.73575e-13	0.0632801	190.477	105.724	55.4095
californicum	alpestre-1_5	andersonii	0.238793	4.58916	4.45041e-06	0.0530641	145.919	94.4644	58.046
cardinale	alpestre-1_5	andersonii	0.264743	5.14464	2.68028e-07	0.0557837	165.916	89.2873	51.9071
carolinianum	alpestre-1_5	andersonii	0.0911229	1.71001	0.0872637	0.0165617	176.673	64.0286	53.3342
alpestre-1_5	distichum-1_5	andersonii	0.16334	3.91205	9.15176e-05	0.0408087	151.307	105.485	75.8639
alpestre-1_5	distichum-2_6	andersonii	0.294901	8.10609	5.22694e-16	0.107044	113.452	167.787	91.3631
exaltatum	alpestre-1_5	andersonii	0.0985203	1.6645	0.0960135	0.0118248	176.849	43.7587	35.9097
geraniifolium	alpestre-1_5	andersonii	0.0921821	1.72361	0.0847777	0.0112532	235.242	46.2405	38.4349
alpestre-1_5	geyeri	andersonii	0.0649378	1.32648	0.184682	0.00891781	202.712	52.9989	46.5354
alpestre-1_5	glaucescens	andersonii	0.0807481	1.64032	0.100938	0.0134041	189.222	64.7832	55.1026
glaucum-1_2	alpestre-1_5	andersonii	0.0207516	0.373727	0.708607	0.00303177	191.385	50.7688	48.7046
glaucum-3_4	alpestre-1_5	andersonii	0.0216856	0.42024	0.67431	0.00281524	196.752	49.5265	47.424
gypsophilum	alpestre-1_5	andersonii	0.444051	11.0796	2.3e-16	0.123075	161.116	154.873	59.625
hesperium	alpestre-1_5	andersonii	0.315485	6.76428	1.33976e-11	0.0668521	156.53	97.7821	50.8811
alpestre-1_5	lineapetalum	andersonii	0.252777	6.07601	1.23212e-09	0.0783978	124.318	135.483	80.809
alpestre-1_5	multiplex	andersonii	0.131686	3.40988	0.000649909	0.0309232	151.215	100.658	77.2325
novomexicanum	alpestre-1_5	andersonii	0.0289819	0.528541	0.597124	0.00322859	259.883	41.0827	38.7684
alpestre-1_5	andersonii	nudicaule	0.0298949	0.637498	0.523801	0.00669748	246.459	79.8164	75.1827
alpestre-1_5	nuttallianum-14	andersonii	0.278703	6.75449	1.43336e-11	0.0871613	111.026	131.688	74.283
alpestre-1_5	nuttallianum-7_9	andersonii	0.327799	9.00661	2.3e-16	0.1241	101.032	175.837	89.018
alpestre-1_5	occidentale	andersonii	0.0536388	1.08475	0.278031	0.00837287	199.516	58.0771	52.1639
parryi	alpestre-1_5	andersonii	0.255611	5.37359	7.71823e-08	0.0586389	155.501	97.1224	57.579
alpestre-1_5	andersonii	patens	0.113553	2.3314	0.0197324	0.0258851	396.832	68.2622	54.3403
ramosum-1_5	alpestre-1_5	andersonii	0.0157007	0.316556	0.75158	0.0012777	468.152	31.1102	30.1484
alpestre-1_5	ramosum-3	andersonii	0.0889792	1.54999	0.121144	0.00993016	268.766	42.7925	35.7995
ramosum-4_10	alpestre-1_5	andersonii	0.140468	2.74605	0.00603182	0.0143855	261.887	43.8233	33.0282
sapellonis	alpestre-1_5	andersonii	0.0338772	0.634287	0.525893	0.00365818	271.948	41.0885	38.3958
andersonii	scaposum	alpestre-1_5	0.236793	5.83805	5.28157e-09	0.0795173	200.059	118.694	73.2444
scopulorum	alpestre-1_5	andersonii	0.0331794	0.634848	0.525528	0.00415598	229.06	44.8166	41.9382
stachydeum	alpestre-1_5	andersonii	0.0878347	1.72013	0.0854095	0.018384	148.41	77.7934	65.2309
alpestre-1_5	andersonii	trolliifolium	0.0513046	1.18231	0.237082	0.0129779	173.62	103.613	93.5004
alpestre-1_5	viridescens	andersonii	0.249272	5.14709	2.6456e-07	0.055938	142.342	94.4476	56.7567
alpestre-1_5	xantholeucum	andersonii	0.164632	3.9719	7.13002e-05	0.0495013	124.126	120.015	86.0844
andesicola	alpestre-1_5	barbeyi	0.00534157	0.117964	0.906096	0.0012364	169.73	82.9304	82.0492
